,f0,f0_range,speech_rate,vowel_duration,el_f0,el_f0_range,el_sr,el_vd,lt_f0_md,lt_f0_range,lt_sr,lt _vd
chf_10,205.2130923,21.94059377,2.665890439,0.174557416,205.9074978,21.78152548,2.610751282,0.1804375,203.845011,22.14772696,2.743805902,0.166629213
chf_09,230.6667278,28.90375139,3.341941147,0.111993671,228.6666235,27.59616761,3.511576682,0.119441624,234.0304153,29.89770515,3.456459038,0.099663866
kof_16,184.0337915,27.35987023,2.558822143,0.148687108,181.6743221,29.44844148,2.353359034,0.155058063,184.8143481,24.76677091,2.760923506,0.143373402
kof_09,207.1168762,49.06597485,2.031367034,0.171959804,203.285128,25.30131782,2.147645931,0.172776092,254.1988879,50.51675064,1.855554445,0.170531298
ch_09,105.6196418,13.87056445,3.430837878,0.113656069,105.2202245,13.92128712,3.466809997,0.112351421,106.0537153,14.05114848,3.386255135,0.115311475
ch_10,129.8752768,22.46793956,3.315223084,0.13186214,128.7766038,19.07967016,3.179132323,0.133589165,130.9511572,25.29785286,3.45208767,0.130415879
ko_10,102.1834958,19.33022017,2.997357947,0.134947981,100.8003491,17.61636042,3.060682745,0.127457045,103.1618627,20.19809942,2.954849919,0.140156523
ko_12,116.789753,19.03038981,2.726918022,0.154598621,114.8111678,19.45838793,2.818044433,0.149200491,118.1798728,18.37770973,2.668651552,0.158243421
