,f0,f0_range,speech_rate,vowel_duration,el_f0,el_f0_range,el_sr,el_vd,lt_f0_md,lt_f0_range,lt_sr,lt _vd
CH_04,127.5536352,25.66768099,3.445638544,0.145270936,125.3638308,26.08634357,3.54944437,0.143053763,130.063258,25.44832999,3.315693648,0.148242075
CH_05,124.5625935,23.15651208,3.339892861,0.134037674,122.4979896,21.07827636,3.276871933,0.142758065,127.0371808,24.56679347,3.413278902,0.125041597
KO_04,107.0635259,19.21260207,2.61313039,0.157855011,105.3865964,18.67383852,2.587350669,0.160842749,109.0990489,19.38874428,2.640567925,0.154739227
KO_17,139.1891126,23.72769105,3.177886838,0.127494826,140.3155055,23.22242021,3.207430857,0.123408694,137.8305566,24.29819197,3.141906796,0.132574882
CHF_07,223.5042191,32.39183525,3.202233836,0.132971474,219.6802666,32.24104837,3.296942528,0.133948127,228.218331,32.14090092,3.093651065,0.131778169
CHF_05,221.2366293,29.05450288,3.565086737,0.114418902,221.2497696,28.92367914,3.514758574,0.120242718,221.2017026,29.11523944,3.622693096,0.107951482
KOF_06,188.3087681,25.75755635,3.059463148,0.134021024,187.518722,25.04994441,3.099172367,0.13087206,189.3467582,26.12840444,3.013487772,0.137770563
KOF_10,222.3325072,11.71288465,2.833757342,0.142895257,220.8930205,14.65937575,2.791214176,0.145033143,222.5943952,11.49288317,2.87227174,0.141012015
