,f0,f0_range,speech_rate,vowel_duration,el_f0,el_f0_range,el_sr,el_vd,lt_f0_md,lt_f0_range,lt_sr,lt _vd
ch_01,168.37913,29.31937568,2.995493291,0.147942336,178.48 ,27.82872137,2.900546313,0.146648164,160.547553,8.522611802,3.10373382,0.14932112
RU_01,188.0945031,38.23565913,3.455377496,0.126858736,189.19 ,34.95257381,3.369399957,0.125576923,186.9205696,42.85312836,3.546389461,0.128057554
CH_02,139.4763443,28.47358988,3.015234952,0.150929986,136.71 ,25.91867479,2.919312038,0.152434007,144.5612599,32.62491596,3.143838153,0.149057563
KO_08,151.3707563,24.91517696,3.389079978,0.146078391,151.93 ,24.60498722,3.436005337,0.143568665,150.6407179,25.16023473,3.346462301,0.148418716
CHF_08,260.8596737,31.31407664,2.836840338,0.134798075,262.9473814724291 ,31.59517685,2.802784017,0.134434588,259.0319718,30.80157806,2.868885824,0.13513222
MAF_01,244.1471698,28.10548567,3.405518687,0.126512821,243.72 ,27.94437893,3.527626754,0.130824373,244.4678379,28.19439908,3.301327004,0.122581699
KOF_03,226.7499462,38.80061945,2.81796578,0.15988566,224.28 ,37.90301495,2.780117009,0.154154943,228.7285132,39.88796534,2.847097994,0.164174573
CHF_04,220.6299917,42.576295,3.556464029,0.122133573,219.98 ,40.63241361,3.631072689,0.121384584,221.17882,44.462141,3.482705143,0.122905575
